driverref,number,code,forename,surname,dateofbirth,nationality
math2,992,MATH2,CAETANO2,Godoy,1980-01-07,BR
math3,993,MATH3,CAETANO3,Almeida,1981-02-08,BR
math4,994,MATH4,CAETANO4,Silva,1982-03-09,BR
math5,995,MATH5,CAETANO5,Costa,1983-04-10,BR
math6,996,MATH6,CAETANO6,Souza,1984-05-11,BR
math7,997,MATH7,CAETANO7,Ribeiro,1985-06-12,BR
math8,998,MATH8,CAETANO8,Oliveira,1986-07-13,BR
math9,999,MATH9,CAETANO9,Santos,1987-08-14,BR
math10,1000,MATH10,CAETANO10,Lima,1988-09-15,BR
math11,1001,MATH11,CAETANO11,Cardoso,1989-10-16,BR
math12,1002,MATH12,CAETANO12,Machado,1990-11-17,BR
